round,proposals,soft_votes,cert_votes,next_votes
55802615,0,309,164,0
55802616,4,331,157,0
55802617,6,334,151,0
55802618,1,321,163,0
55802619,1,285,139,0
55802620,5,284,141,0
55802621,4,293,136,0
55802622,5,316,141,0
55802623,4,285,119,0
55802624,4,326,143,0
55802625,6,304,155,0
55802626,1,295,130,0
55802627,5,295,142,0
55802628,4,292,136,0
55802629,4,273,129,0
55802630,2,287,153,0
55802631,3,306,144,0
55802632,3,279,122,0
55802633,3,289,148,0
55802634,4,308,132,0
55802635,3,291,138,0
55802636,5,315,167,0
55802637,2,295,140,0
55802638,6,279,132,0
55802639,6,305,139,0
55802640,5,314,112,0
55802641,2,306,127,0
55802642,6,290,139,0
55802643,1,307,159,0
55802644,4,309,156,0
55802645,2,303,140,0
55802646,3,323,149,0
55802647,4,302,133,0
55802648,2,288,144,0
55802649,5,288,133,0
55802650,3,313,122,0
55802651,1,301,138,0
55802652,3,302,147,0
55802653,3,314,157,0
55802654,2,319,136,0
55802655,2,299,134,0
55802656,6,290,125,0
55802657,2,300,147,0
55802658,3,314,156,0
55802659,3,277,137,0
55802660,3,303,129,0
55802661,2,303,146,0
55802662,4,294,156,0
55802663,3,306,134,0
55802664,4,317,144,0
55802665,4,301,148,0
55802666,4,302,139,0
55802667,4,302,144,0
55802668,3,285,146,0
55802669,3,314,136,0
55802670,5,331,141,0
55802671,4,342,160,0
55802672,7,326,135,0
55802673,4,302,147,0
55802674,2,301,139,0
55802675,3,297,139,0
55802676,1,306,152,0
55802677,4,311,160,0
55802678,4,312,128,0
55802679,2,284,127,0
55802680,5,286,132,0
55802681,1,311,148,0
55802682,4,265,127,0
55802683,2,288,140,0
55802684,3,307,127,0
55802685,3,308,137,0
55802686,2,291,140,0
55802687,5,287,138,0
55802688,3,321,135,0
55802689,4,304,151,0
55802690,3,323,155,0
55802691,3,314,153,0
55802692,2,290,127,0
55802693,1,321,151,0
55802694,3,319,152,0
55802695,2,316,145,0
55802696,2,283,117,0
55802697,2,287,134,0
55802698,4,295,139,0
55802699,2,326,120,0
55802700,2,295,138,0
55802701,3,275,149,0
55802702,3,314,157,0
55802703,3,281,133,0
55802704,2,299,138,0
55802705,1,332,155,0
55802706,4,332,163,0
55802707,4,333,158,0
55802708,6,319,127,0
55802709,3,317,134,0
55802710,4,322,126,0
55802711,4,313,157,0
55802712,4,305,134,0
55802713,3,322,130,0
55802714,5,292,133,0
55802715,3,308,146,0
55802716,4,281,143,0
55802717,4,297,123,0
55802718,3,330,148,0
55802719,4,294,151,0
55802720,6,297,141,0
55802721,5,328,147,0
55802722,3,296,149,0
55802723,3,306,152,0
55802724,3,324,149,0
55802725,6,313,132,0
55802726,3,305,142,0
55802727,2,327,140,0
55802728,3,302,124,0
55802729,3,302,144,0
55802730,3,309,158,0
55802731,1,321,117,0
55802732,3,302,158,0
55802733,4,307,136,0
55802734,5,314,171,0
55802735,3,318,154,0
55802736,5,292,138,0
55802737,2,282,127,0
55802738,3,342,140,0
55802739,2,312,163,0
55802740,4,313,134,0
55802741,4,298,117,0
55802742,4,320,160,0
55802743,5,319,178,0
55802744,3,325,164,0
55802745,2,314,147,0
55802746,4,322,136,0
55802747,5,310,123,0
55802748,2,308,136,0
55802749,4,312,128,0
55802750,1,291,148,0
55802751,1,321,164,0
55802752,3,326,156,0
55802753,4,306,153,0
55802754,4,313,156,0
55802755,4,304,129,0
55802756,5,304,139,0
55802757,2,335,155,0
55802758,4,310,134,0
55802759,4,309,149,0
55802760,3,324,133,0
55802761,2,318,136,0
55802762,3,311,165,0
55802763,3,339,153,0
55802764,4,334,142,0
55802765,5,308,143,0
55802766,4,302,159,0
55802767,4,341,155,0
55802768,4,316,149,0
55802769,2,292,175,0
55802770,2,308,127,0
55802771,3,324,160,0
55802772,5,314,141,0
55802773,3,319,139,0
55802774,5,340,133,0
55802775,5,310,170,0
55802776,6,305,144,0
55802777,4,313,158,0
55802778,3,329,151,0
55802779,2,324,162,0
55802780,3,314,153,0
55802781,4,329,159,0
55802782,4,283,163,0
55802783,3,293,148,0
55802784,3,336,167,0
55802785,5,332,146,0
55802786,2,320,154,0
55802787,4,332,137,0
55802788,4,319,153,0
55802789,1,310,153,0
55802790,2,313,162,0
55802791,4,333,160,0
55802792,4,321,141,0
55802793,3,330,156,0
55802794,5,298,147,0
55802795,4,305,160,0
55802796,3,333,140,0
55802797,3,330,144,0
55802798,2,313,151,0
55802799,3,317,162,0
55802800,2,327,164,0
55802801,4,305,171,0
55802802,4,330,156,0
55802803,6,321,149,0
55802804,4,325,158,0
55802805,5,303,162,0
55802806,5,300,168,0
55802807,1,302,137,0
55802808,4,330,164,0
55802809,4,314,164,0
55802810,5,289,150,0
55802811,5,330,145,0
55802812,3,294,144,0
55802813,3,299,163,0
55802814,3,336,174,0
55802815,4,325,165,0
55802816,4,328,164,0
55802817,4,294,166,0
55802818,4,321,158,0
55802819,2,318,162,0
55802820,4,305,147,0
55802821,1,299,141,0
55802822,4,308,154,0
55802823,4,325,160,0
55802824,6,297,154,0
55802825,6,319,153,0
55802826,2,328,162,0
55802827,4,314,172,0
55802828,3,324,153,0
55802829,6,335,165,0
55802830,4,348,174,0
55802831,2,355,165,0
55802832,5,320,167,0
55802833,2,319,162,0
55802834,2,291,146,0
