phase,metric,description,count,mean,p50,p90,p95,p99,min,max
soft,unique_total,Unique/Expected (total),337,1.3846065053764667,1.373719546059901,1.455690465474998,1.5116568173515121,1.6355742348397144,1.2126042906578138,1.7779209762791723
soft,unique_on,Unique/Expected (on_time),337,0.8850728874899497,0.8818940295693192,0.9412522815595619,0.9610383655563094,0.9937136699852236,0.7518711918764067,1.0175700341184453
soft,msg_total,Messages/Expected (total),337,1.8377740900565316,1.823146311128881,1.9305564813969391,2.0108314507551723,2.1726250861800045,1.6309386380176192,2.357370579041065
soft,msg_on,Messages/Expected (on_time),337,0.8850728874899497,0.8818940295693192,0.9412522815595619,0.9610383655563094,0.9937136699852236,0.7518711918764067,1.0175700341184453
soft,dup_total,Duplication factor (total),337,1.3274221536773347,1.326488706365503,1.352312677823908,1.3574707059034663,1.3743026109345455,1.2678571428571428,1.391304347826087
cert,unique_total,Unique/Expected (total),337,1.1422445381268769,1.1311160034716514,1.234335714815072,1.2825049134420017,1.395530497363047,0.9633839725385929,1.4235718522780099
cert,unique_on,Unique/Expected (on_time),337,0.5999837153051726,0.6021149828366205,0.6709281237322343,0.6881314089561378,0.7252905050397691,0.46448870104539297,0.7569445498517515
cert,msg_total,Messages/Expected (total),337,1.438656632051492,1.4278726735839857,1.5525964914572858,1.6179689753081188,1.7497461401232188,1.2386365361210478,1.7977433058979098
cert,msg_on,Messages/Expected (on_time),337,0.5999837153051726,0.6021149828366205,0.6709281237322343,0.6881314089561378,0.7252905050397691,0.46448870104539297,0.7569445498517515
cert,dup_total,Duplication factor (total),337,1.259872707589732,1.2581967213114753,1.2872445384073292,1.2948039463698455,1.3101501014198782,1.2170542635658914,1.3284132841328413
